millis,epoch,sync,f1LV,f2LV,f3LV,f4LV,f5LV,f1RV,f2RV,f3RV,f4RV,f5RV
80133, 1542380266, 0, 591, 723, 635, 860, 508, 498, 757, 728, 1148, 591
80143, 1542380266, 0, 596, 723, 635, 865, 513, 503, 757, 728, 1153, 591
80153, 1542380266, 0, 596, 718, 635, 865, 513, 498, 757, 733, 1148, 586
80163, 1542380266, 0, 596, 723, 640, 865, 513, 498, 762, 733, 1153, 591
80173, 1542380266, 0, 601, 723, 635, 860, 508, 498, 757, 733, 1148, 591
80183, 1542380266, 0, 601, 723, 635, 865, 513, 498, 757, 728, 1148, 586
80193, 1542380266, 0, 596, 723, 635, 865, 513, 503, 757, 728, 1148, 591
80203, 1542380266, 0, 596, 723, 635, 865, 513, 503, 757, 733, 1148, 591
80214, 1542380266, 0, 596, 728, 635, 865, 508, 503, 757, 733, 1148, 591
80224, 1542380266, 0, 596, 723, 635, 865, 513, 503, 762, 728, 1148, 591
80234, 1542380266, 0, 596, 728, 635, 865, 513, 503, 762, 733, 1153, 591
80244, 1542380266, 0, 596, 723, 635, 865, 508, 503, 762, 728, 1148, 591
80254, 1542380266, 0, 596, 723, 635, 865, 513, 498, 757, 733, 1148, 591
80264, 1542380266, 0, 596, 728, 635, 860, 508, 503, 757, 728, 1148, 596
80274, 1542380266, 0, 596, 728, 635, 865, 508, 498, 757, 733, 1148, 591
80284, 1542380266, 0, 596, 728, 635, 865, 508, 498, 762, 733, 1148, 596
80294, 1542380266, 0, 601, 728, 635, 865, 513, 498, 757, 728, 1148, 591
80304, 1542380266, 0, 601, 728, 640, 865, 513, 498, 762, 733, 1153, 591
80314, 1542380266, 0, 601, 728, 635, 865, 508, 503, 757, 733, 1148, 591
80324, 1542380266, 0, 596, 723, 635, 865, 513, 503, 762, 733, 1148, 586
80334, 1542380266, 0, 601, 728, 635, 865, 508, 503, 757, 728, 1148, 591
80344, 1542380266, 0, 601, 728, 635, 865, 513, 498, 762, 733, 1148, 586
80354, 1542380266, 0, 601, 723, 635, 865, 513, 498, 762, 733, 1148, 591
80364, 1542380266, 0, 601, 728, 635, 865, 508, 498, 762, 728, 1148, 586
80374, 1542380266, 0, 601, 728, 640, 865, 513, 503, 762, 733, 1153, 591
80384, 1542380266, 0, 601, 723, 635, 865, 508, 498, 762, 728, 1148, 586
80394, 1542380266, 0, 601, 728, 635, 865, 508, 498, 762, 733, 1148, 586
80404, 1542380266, 0, 601, 728, 635, 865, 508, 498, 757, 733, 1148, 586
80418, 1542380266, 0, 606, 728, 640, 865, 513, 503, 762, 733, 1148, 591
80428, 1542380266, 0, 596, 723, 635, 865, 508, 498, 762, 733, 1148, 591
80438, 1542380266, 0, 596, 728, 635, 865, 508, 498, 762, 733, 1153, 586
80448, 1542380266, 0, 601, 728, 640, 865, 513, 498, 762, 733, 1153, 591
80458, 1542380266, 0, 601, 723, 630, 865, 513, 498, 762, 733, 1153, 586
80468, 1542380266, 0, 601, 728, 635, 860, 508, 503, 762, 733, 1148, 586
80478, 1542380266, 0, 601, 728, 635, 865, 513, 503, 762, 733, 1153, 591
80488, 1542380266, 0, 601, 723, 635, 865, 513, 498, 762, 733, 1143, 591
80498, 1542380266, 0, 601, 723, 635, 860, 513, 498, 762, 733, 1148, 591
80508, 1542380266, 0, 601, 723, 635, 865, 508, 498, 762, 728, 1153, 586
80518, 1542380266, 0, 601, 728, 635, 865, 508, 503, 762, 733, 1153, 591
80528, 1542380266, 0, 601, 728, 635, 860, 513, 503, 762, 733, 1153, 591
80538, 1542380266, 0, 601, 723, 635, 860, 513, 498, 762, 733, 1153, 591
80548, 1542380266, 0, 596, 728, 635, 860, 508, 498, 757, 733, 1148, 591
80558, 1542380266, 0, 601, 728, 635, 860, 508, 503, 762, 728, 1148, 591
80568, 1542380266, 0, 601, 723, 635, 860, 508, 503, 762, 733, 1153, 591
80578, 1542380267, 0, 601, 728, 635, 860, 513, 498, 762, 728, 1153, 591
80588, 1542380267, 0, 601, 728, 640, 865, 513, 503, 762, 733, 1153, 591
80598, 1542380267, 0, 601, 728, 640, 860, 513, 498, 762, 733, 1148, 591
80608, 1542380267, 0, 601, 728, 635, 860, 513, 498, 742, 728, 1148, 591
80618, 1542380267, 0, 601, 728, 635, 865, 508, 498, 762, 733, 1148, 591
